id,source_id,source_name,title,content,published_at
347,bbc-news,BBC News,Steven Defour: Ex-Burnley midfielder joins Royal Antwerp,Defour has played 52 times for Belgium  Steven Defour has joined Belgian club Royal Antwerp after his contract was cancelled by Burnley.  Defour  31  wanted to return to Belgium for personal reasons and has signed a one-year deal.  The midfielder spent three … [+219 chars],2019-09-03T15:52:35Z
351,cbs-news,CBS News,GM now has more workers in China than UAW employees in the U.S.,<ul><li>President Trump attacked GM on Twitter  claiming it is now one of the smallest car manufacturers in Detroit.</li><li>GM says it employs nearly 49 000 union employees in the U.S.  more than rival Fiat Chrysler.</li><li>GM has been investing heavily in … [+3486 chars],2019-09-03T17:14:30+00:00
355,the-new-york-times,The New York Times,Robert Khuzami  Prosecutor in Michael Cohen Case  Joins Guggenheim Partners,In his own statement  Mr. Khuzami said he was both personally and professionally excited to join Guggenheim Partners and its fantastic team.  The move follows Mr. Khuzamis most recent stint at the United States attorneys office in Manhattan  where he was the … [+905 chars],2019-09-03T17:35:53Z
359,the-irish-times,The Irish Times,British man charged over seizure of heroin worth €1m,A UK national has been remanded in custody after gardai seized about 1 million worth of heroin following raids in Dublin and Meath.  Searches were carried out in a joint operation at the weekend involving members of the Garda National Drugs and Organised Crim… [+1779 chars],2019-09-03T11:30:32Z
363,business-insider,Business Insider,I tested 5 unusual fitness trends — including aerial yoga  an urban sweat lodge  and a prison-style bootcamp led by a former inmate — and saw how much exercise has changed,I'm not really a fitness person. Or a trends person.    I basically keep fit by walking a lot and occasionally beating up a punching bag. Otherwise  I keep my head in the sand and my sneakers on the treadmill.    But the world is full of fitness trends straig… [+1382 chars],2019-09-03T17:03:23Z
367,newsweek,Newsweek,Girls Would Do Better in Maths and Science Tests If Exams Were Made Longer  Study Finds,Girls would score better in maths and science tests if exams were made longer. That's according to researchers who say this could help to close the gender gap in science  technology  engineering and mathematics-based (STEM) industries.  Researchers wanted to … [+4389 chars],2019-09-03T15:16:23Z
371,reuters,Reuters,Full U.S. pullout from Afghanistan could ignite 'total civil war': ex-U.S. envoys,WASHINGTON (Reuters) - Nine former U.S. ambassadors on Tuesday warned that Afghanistan could collapse in a “total civil war” if President Donald Trump withdraws all U.S. forces before the Kabul government and the Taliban conclude a peace settlement.   “A majo… [+2457 chars],2019-09-03T16:16:51Z
375,cnn,CNN,Incarcerated Anonymous hacker called before grand jury  sparking WikiLeaks questions,(CNN)Jeremy Hammond  the Anonymous hacktivist currently serving his seventh year behind bars  has been called to testify before a grand jury in the Eastern District of Virginia  a group representing him says.  The development is an indication the US Justice D… [+1669 chars],2019-09-03T14:53:03Z
379,reuters,Reuters,GE's Baker Hughes sees range-bound oil prices for foreseeable future,(Reuters) - Oil prices are likely to remain range-bound for the “foreseeable future” and there will be little spending growth in North American oil and gas fields in the near to medium term  Lorenzo Simonelli  chief executive of General Electric Co’s Baker Hu… [+449 chars],2019-09-03T15:59:03Z
383,the-irish-times,The Irish Times,Ukraine kicks off anti-graft drive by stripping deputies of immunity,Ukraines parliament has voted to strip deputies of immunity from prosecution  striking a first major blow for new president Volodymyr Zelenskiy and his government in what they call their war on corruption and impunity.  For two decades  Ukrainian deputies hav… [+293 chars],2019-09-03T17:02:42Z
